crash_date,etf_code,etf_name,hold_days,return_pct
2025-01-22,561560,电力ETF,2,0.1
2025-01-22,561560,电力ETF,5,1.39
2025-01-22,561560,电力ETF,8,1.11
2025-01-22,561560,电力ETF,10,1.34
2025-01-22,159611,电力ETF,2,0.09
2025-01-22,159611,电力ETF,5,1.39
2025-01-22,159611,电力ETF,8,1.1
2025-01-22,159611,电力ETF,10,1.34
2025-01-22,159790,碳中和50ETF,2,0.65
2025-01-22,159790,碳中和50ETF,5,0.97
2025-01-22,159790,碳中和50ETF,8,0.97
2025-01-22,159790,碳中和50ETF,10,1.8
2025-01-22,516070,碳中和ETF,2,0.69
2025-01-22,516070,碳中和ETF,5,1.14
2025-01-22,516070,碳中和ETF,8,1.14
2025-01-22,516070,碳中和ETF,10,1.94
2025-01-22,512710,军工龙头ETF,2,-0.27
2025-01-22,512710,军工龙头ETF,5,2.48
2025-01-22,512710,军工龙头ETF,8,2.32
2025-01-22,512710,军工龙头ETF,10,2.44
2025-01-22,512670,国防ETF,2,0.09
2025-01-22,512670,国防ETF,5,2.63
2025-01-22,512670,国防ETF,8,3.12
2025-01-22,512670,国防ETF,10,2.96
2025-02-18,512710,军工龙头ETF,2,3.66
2025-02-18,512710,军工龙头ETF,5,3.19
2025-02-18,512710,军工龙头ETF,8,0.85
2025-02-18,512710,军工龙头ETF,10,4.98
2025-02-18,512670,国防ETF,2,4.38
2025-02-18,512670,国防ETF,5,4.8
2025-02-18,512670,国防ETF,8,2.46
2025-02-18,512670,国防ETF,10,6.85
2025-02-18,515880,通信ETF,2,1.91
2025-02-18,515880,通信ETF,5,3.07
2025-02-18,515880,通信ETF,8,-4.75
2025-02-18,515880,通信ETF,10,-4.98
2025-02-25,512710,军工龙头ETF,2,-0.15
2025-02-25,512710,军工龙头ETF,5,1.73
2025-02-25,512710,军工龙头ETF,8,4.98
2025-02-25,512710,军工龙头ETF,10,8.16
2025-02-25,561560,电力ETF,2,0.41
2025-02-25,561560,电力ETF,5,-0.71
2025-02-25,561560,电力ETF,8,-1.03
2025-02-25,561560,电力ETF,10,-0.95
2025-02-25,159611,电力ETF,2,0.41
2025-02-25,159611,电力ETF,5,-0.72
2025-02-25,159611,电力ETF,8,-1.03
2025-02-25,159611,电力ETF,10,-0.95
2025-02-25,512670,国防ETF,2,0.25
2025-02-25,512670,国防ETF,5,1.95
2025-02-25,512670,国防ETF,8,6.37
2025-02-25,512670,国防ETF,10,9.9
2025-02-25,159790,碳中和50ETF,2,1.72
2025-02-25,159790,碳中和50ETF,5,0.51
2025-02-25,159790,碳中和50ETF,8,-0.25
2025-02-25,159790,碳中和50ETF,10,-0.11
2025-02-25,515880,通信ETF,2,-2.6
2025-02-25,515880,通信ETF,5,-7.81
2025-02-25,515880,通信ETF,8,-6.27
2025-02-25,515880,通信ETF,10,-6.9
2025-02-28,516510,云计算ETF,2,1.36
2025-02-28,516510,云计算ETF,5,6.27
2025-02-28,516510,云计算ETF,8,4.54
2025-02-28,516510,云计算ETF,10,3.72
2025-02-28,515880,通信ETF,2,-0.24
2025-02-28,515880,通信ETF,5,1.42
2025-02-28,515880,通信ETF,8,1.96
2025-02-28,515880,通信ETF,10,2.18
2025-02-28,515050,5GETF,2,-0.88
2025-02-28,515050,5GETF,5,0.45
2025-02-28,515050,5GETF,8,0.82
2025-02-28,515050,5GETF,10,1.22
2025-02-28,512710,军工龙头ETF,2,4.1
2025-02-28,512710,军工龙头ETF,5,7.42
2025-02-28,512710,军工龙头ETF,8,9.88
2025-02-28,512710,军工龙头ETF,10,10.43
2025-02-28,515070,AIETF,2,0.92
2025-02-28,515070,AIETF,5,4.67
2025-02-28,515070,AIETF,8,3.42
2025-02-28,515070,AIETF,10,2.56
2025-02-28,159819,人工智能ETF,2,0.92
2025-02-28,159819,人工智能ETF,5,4.69
2025-02-28,159819,人工智能ETF,8,3.44
2025-02-28,159819,人工智能ETF,10,2.57
2025-02-28,561560,电力ETF,2,-0.33
2025-02-28,561560,电力ETF,5,-0.64
2025-02-28,561560,电力ETF,8,0.03
2025-02-28,561560,电力ETF,10,1.41
2025-03-20,516510,云计算ETF,2,-4.25
